HB,Month,TotalPatientsWaiting,TotalPatientsWaitingQF,NumberOfPatientsWaiting0To18Weeks,NumberOfPatientsWaiting0To18WeeksQF,NumberOfPatientsWaiting19To35Weeks,NumberOfPatientsWaiting19To35WeeksQF,NumberOfPatientsWaiting36To52Weeks,NumberOfPatientsWaiting36To52WeeksQF,NumberOfPatientsWaitingOver52Weeks,NumberOfPatientsWaitingOver52WeeksQF
S08000015,202503,134,,134,,0,,0,,0,
S08000016,202503,44,,44,,0,,0,,0,
S08000017,202503,213,,213,,0,,0,,0,
S08000019,202503,95,,95,,0,,0,,0,
S08000020,202503,613,,585,,24,,4,,0,
S08000022,202503,223,,142,,45,,26,,10,
S08000024,202503,1909,,1152,,400,,213,,144,
S08000025,202503,38,,38,,0,,0,,0,
S08000026,202503,38,,38,,0,,0,,0,
S08000028,202503,4,,4,,0,,0,,0,
S08000029,202503,92,,91,,1,,0,,0,
S08000030,202503,221,,209,,10,,0,,2,
S08000031,202503,584,,581,,3,,0,,0,
S08000032,202503,466,,432,,16,,10,,8,
S92000003,202503,4674,d,3758,d,499,d,253,d,164,d
S08000015,202502,144,,144,,0,,0,,0,
S08000016,202502,37,,37,,0,,0,,0,
S08000017,202502,161,,161,,0,,0,,0,
S08000019,202502,62,,61,,1,,0,,0,
S08000020,202502,613,,586,,21,,6,,0,
S08000022,202502,319,,217,,51,,36,,15,
S08000024,202502,1830,,1160,,328,,213,,129,
S08000025,202502,34,,34,,0,,0,,0,
S08000026,202502,39,,39,,0,,0,,0,
S08000028,202502,4,,4,,0,,0,,0,
S08000029,202502,71,,71,,0,,0,,0,
S08000030,202502,210,,197,,11,,1,,1,
S08000031,202502,556,,556,,0,,0,,0,
S08000032,202502,396,,360,,16,,13,,7,
S92000003,202502,4476,d,3627,d,428,d,269,d,152,d
S08000015,202501,88,,88,,0,,0,,0,
S08000016,202501,39,,39,,0,,0,,0,
S08000017,202501,128,,128,,0,,0,,0,
S08000019,202501,57,,56,,0,,1,,0,
S08000020,202501,535,,518,,12,,5,,0,
S08000022,202501,350,,213,,72,,42,,23,
S08000024,202501,1858,,1188,,350,,209,,111,
S08000025,202501,24,,24,,0,,0,,0,
S08000026,202501,32,,32,,0,,0,,0,
S08000028,202501,5,,5,,0,,0,,0,
S08000029,202501,65,,64,,1,,0,,0,
S08000030,202501,205,,189,,12,,3,,1,
S08000031,202501,561,,556,,5,,0,,0,
S08000032,202501,467,,429,,15,,16,,7,
S92000003,202501,4414,d,3529,d,467,d,276,d,142,d
S08000015,202501,92,,92,,0,,0,,0,
S08000016,202412,38,,35,,1,,2,,0,
S08000017,202412,124,,124,,0,,0,,0,
S08000019,202412,65,,63,,2,,0,,0,
S08000020,202412,495,,473,,17,,5,,0,
S08000022,202412,314,r,170,r,61,,49,,34,
S08000024,202412,1848,,1209,,325,,208,,106,
S08000025,202412,8,,8,,0,,0,,0,
S08000026,202412,29,,29,,0,,0,,0,
S08000028,202412,2,,2,,0,,0,,0,
S08000029,202412,75,,74,,1,,0,,0,
S08000030,202412,184,,177,,4,,2,,1,
S08000031,202412,636,,636,,0,,0,,0,
S08000032,202412,459,,425,,13,,17,,4,
S92000003,202412,4369,d r,3517,d r,424,d,283,d,145,d
S08000015,202411,97,,97,,0,,0,,0,
S08000016,202411,40,,38,,0,,2,,0,
S08000017,202411,144,,144,,0,,0,,0,
S08000019,202411,51,,48,,2,,1,,0,
S08000020,202411,498,,474,,22,,2,,0,
S08000022,202411,325,,155,,80,,54,,36,
S08000024,202411,1801,,1197,,325,,201,,78,
S08000025,202411,9,,9,,0,,0,,0,
S08000026,202411,24,,24,,0,,0,,0,
S08000028,202411,6,,6,,0,,0,,0,
S08000029,202411,71,,71,,0,,0,,0,
S08000030,202411,167,,160,,4,,2,,1,
S08000031,202411,620,,619,,0,,0,,1,
S08000032,202411,435,,386,,20,,18,,11,
S92000003,202411,4288,d,3428,d,453,d,280,d,127,d
S08000015,202410,75,,75,,0,,0,,0,
S08000016,202410,40,,40,,0,,0,,0,
S08000017,202410,116,,116,,0,,0,,0,
S08000019,202410,86,,85,,0,,0,,1,
S08000020,202410,476,,447,,27,,2,,0,
S08000022,202410,324,,122,,95,,69,,38,
S08000024,202410,1718,,1096,,354,,213,,55,
S08000025,202410,9,,9,,0,,0,,0,
S08000026,202410,22,,22,,0,,0,,0,
S08000028,202410,8,,8,,0,,0,,0,
S08000029,202410,54,,54,,0,,0,,0,
S08000030,202410,131,,130,,1,,0,,0,
S08000031,202410,580,,580,,0,,0,,0,
S08000032,202410,393,,339,,28,,15,,11,
S92000003,202410,4032,d,3123,d,505,d,299,d,105,d
S08000015,202409,80,,80,,0,,0,,0,
S08000016,202409,41,,40,,0,,1,,0,
S08000017,202409,119,,116,,3,,0,,0,
S08000019,202409,85,,83,,2,,0,,0,
S08000020,202409,480,,446,,34,,0,,0,
S08000022,202409,448,,193,,103,,79,,73,
S08000024,202409,1720,,1125,,368,,188,,39,
S08000025,202409,9,,9,,0,,0,,0,
S08000026,202409,21,,21,,0,,0,,0,
S08000028,202409,4,,4,,0,,0,,0,
S08000029,202409,87,,82,,5,,0,,0,
S08000030,202409,135,,131,,4,,0,,0,
S08000031,202409,541,,540,,1,,0,,0,
S08000032,202409,461,,400,,39,,19,,3,
S92000003,202409,4231,d,3270,d,559,d,287,d,115,d
S08000015,202408,52,,52,,0,,0,,0,
S08000016,202408,42,,39,,1,,2,,0,
S08000017,202408,118,,117,,1,,0,,0,
S08000019,202408,99,,98,,0,,0,,1,
S08000020,202408,415,,385,,28,,2,,0,
S08000022,202408,428,,156,,122,,74,,76,
S08000024,202408,1694,,1054,,386,,235,,19,
S08000025,202408,12,,12,,0,,0,,0,
S08000026,202408,23,,23,,0,,0,,0,
S08000028,202408,4,,4,,0,,0,,0,
S08000029,202408,124,,113,,11,,0,,0,
S08000030,202408,143,,138,,5,,0,,0,
S08000031,202408,462,,460,,2,,0,,0,
S08000032,202408,403,,344,,40,,19,,0,
S92000003,202408,4019,d,2995,d,596,d,332,d,96,d
S08000015,202407,50,,50,,0,,0,,0,
S08000016,202407,30,,27,,2,,1,,0,
S08000017,202407,136,,129,,6,,1,,0,
S08000019,202407,117,,115,,1,,1,,0,
S08000020,202407,431,,400,,30,,1,,0,
S08000022,202407,512,,211,,137,,85,,79,
S08000024,202407,1749,,1116,,399,,208,,26,
S08000025,202407,14,,14,,0,,0,,0,
S08000026,202407,18,,18,,0,,0,,0,
S08000028,202407,4,,4,,0,,0,,0,
S08000029,202407,149,,140,,9,,0,,0,
S08000030,202407,172,,169,,3,,0,,0,
S08000031,202407,438,,438,,0,,0,,0,
S08000032,202407,369,,306,,46,,17,,0,
S92000003,202407,4189,d,3137,d,633,d,314,d,105,d
S08000015,202406,79,,77,,1,,1,,0,
S08000016,202406,44,,39,,4,,1,,0,
S08000017,202406,193,,189,,4,,0,,0,
S08000019,202406,201,,200,,0,,0,,1,
S08000020,202406,479,,458,,21,,0,,0,
S08000022,202406,530,,231,,133,,82,,84,
S08000024,202406,1856,,1251,,393,,187,,25,
S08000025,202406,20,,20,,0,,0,,0,
S08000026,202406,17,,17,,0,,0,,0,
S08000028,202406,6,,6,,0,,0,,0,
S08000029,202406,170,,155,,15,,0,,0,
S08000030,202406,180,,174,,5,,0,,1,
S08000031,202406,587,,583,,4,,0,,0,
S08000032,202406,576,,475,,83,,18,,0,
S92000003,202406,4938,d,3875,d,663,d,289,d,111,d
S08000015,202405,60,,58,,2,,0,,0,
S08000016,202405,32,,28,,3,,1,,0,
S08000017,202405,246,,244,,2,,0,,0,
S08000019,202405,141,,141,,0,,0,,0,
S08000020,202405,458,,440,,16,,2,,0,
S08000022,202405,484,,223,,116,,71,,74,
S08000024,202405,1751,,1189,,374,,160,,28,
S08000025,202405,21,,21,,0,,0,,0,
S08000026,202405,20,,20,,0,,0,,0,
S08000028,202405,6,,6,,0,,0,,0,
S08000029,202405,172,,141,,31,,0,,0,
S08000030,202405,170,,166,,3,,0,,1,
S08000031,202405,591,,575,,14,,1,,1,
S08000032,202405,556,,473,,70,,10,,3,
S92000003,202405,4708,d,3725,d,631,d,245,d,107,d
S08000015,202404,74,,70,,4,,0,,0,
S08000016,202404,39,,33,,5,,1,,0,
S08000017,202404,258,,257,,0,,1,,0,
S08000019,202404,100,,98,,1,,0,,1,
S08000020,202404,477,,457,,19,,1,,0,
S08000022,202404,528,,223,,146,,75,,84,
S08000024,202404,1837,,1220,,413,,158,,46,
S08000025,202404,26,,25,,1,,0,,0,
S08000026,202404,11,,11,,0,,0,,0,
S08000028,202404,8,,8,,0,,0,,0,
S08000029,202404,220,,179,,41,,0,,0,
S08000030,202404,170,,168,,2,,0,,0,
S08000031,202404,696,,673,,23,,0,,0,
S08000032,202404,535,,425,,99,,7,,4,
S92000003,202404,4979,d,3847,d,754,d,243,d,135,d
S08000015,202403,95,,92,,3,,0,,0,
S08000016,202403,44,,36,,8,,0,,0,
S08000017,202403,276,,262,,13,,1,,0,
S08000019,202403,136,,134,,2,,0,,0,
S08000020,202403,630,,609,,20,,1,,0,
S08000022,202403,477,,185,,139,,67,,86,
S08000024,202403,1868,,1290,,375,,154,,49,
S08000025,202403,23,,23,,0,,0,,0,
S08000026,202403,16,,16,,0,,0,,0,
S08000028,202403,6,,6,,0,,0,,0,
S08000029,202403,219,,178,,41,,0,,0,
S08000030,202403,170,,168,,1,,1,,0,
S08000031,202403,858,,834,,24,,0,,0,
S08000032,202403,740,,523,,211,,4,,2,
S92000003,202403,5558,d,4356,d,837,d,228,d,137,d
S08000015,202402,77,,75,,1,,0,,1,
S08000016,202402,57,,39,,16,,2,,0,
S08000017,202402,274,,248,,23,,3,,0,
S08000019,202402,152,,149,,3,,0,,0,
S08000020,202402,512,,498,,13,,0,,1,
S08000022,202402,486,,208,,127,,69,,82,
S08000024,202402,1863,,1295,,390,,136,,42,
S08000025,202402,25,,25,,0,,0,,0,
S08000026,202402,17,,17,,0,,0,,0,
S08000028,202402,9,,9,,0,,0,,0,
S08000029,202402,238,,200,,38,,0,,0,
S08000030,202402,141,,137,,4,,0,,0,
S08000031,202402,758,,755,,3,,0,,0,
S08000032,202402,724,,567,,142,,6,,9,
S92000003,202402,5333,d,4222,d,760,d,216,d,135,d
S08000015,202401,101,,99,,1,,0,,1,
S08000016,202401,78,,52,,26,,0,,0,
S08000017,202401,242,,201,,41,,0,,0,
S08000019,202401,186,,180,,5,,1,,0,
S08000020,202401,358,,349,,9,,0,,0,
S08000022,202401,499,,223,,125,,72,,79,
S08000024,202401,2123,,1484,,431,,126,,82,
S08000025,202401,24,,24,,0,,0,,0,
S08000026,202401,13,,13,,0,,0,,0,
S08000028,202401,5,,5,,0,,0,,0,
S08000029,202401,219,,184,,34,,1,,0,
S08000030,202401,123,,118,,5,,0,,0,
S08000031,202401,706,,702,,4,,0,,0,
S08000032,202401,678,,547,,102,,19,,10,
S92000003,202401,5355,d,4181,d,783,d,219,d,172,d
S08000015,202312,154,,150,,3,,0,,1,
S08000016,202312,105,,64,,41,,0,,0,
S08000017,202312,283,,246,,37,,0,,0,
S08000019,202312,224,,198,,20,,5,,1,
S08000020,202312,357,,346,,9,,1,,1,
S08000022,202312,531,,253,,114,,67,,97,
S08000024,202312,2084,,1529,,354,,122,,79,
S08000025,202312,22,,22,,0,,0,,0,
S08000026,202312,17,,17,,0,,0,,0,
S08000028,202312,6,,6,,0,,0,,0,
S08000029,202312,249,,185,,64,,0,,0,
S08000030,202312,156,,151,,5,,0,,0,
S08000031,202312,678,,670,,8,,0,,0,
S08000032,202312,651,,560,,63,,17,,11,
S92000003,202312,5517,d,4397,d,718,d,212,d,190,d
S08000015,202311,205,,199,,5,,0,,1,
S08000016,202311,111,,71,,35,,4,,1,
S08000017,202311,247,,218,,29,,0,,0,
S08000019,202311,240,,202,,28,,5,,5,
S08000020,202311,241,,226,,9,,1,,5,
S08000022,202311,513,,252,,101,,57,,103,
S08000024,202311,1890,,1407,,347,,92,,44,
S08000025,202311,22,,22,,0,,0,,0,
S08000026,202311,15,,15,,0,,0,,0,
S08000028,202311,7,,7,,0,,0,,0,
S08000029,202311,238,,187,,49,,2,,0,
S08000030,202311,192,,180,,12,,0,,0,
S08000031,202311,704,,695,,9,,0,,0,
S08000032,202311,644,,567,,48,,18,,11,
S92000003,202311,5269,d,4248,d,672,d,179,d,170,d
S08000015,202310,290,,287,,2,,0,,1,
S08000016,202310,206,,123,,81,,2,,0,
S08000017,202310,173,,151,,22,,0,,0,
S08000019,202310,307,,235,,46,,19,,7,
S08000020,202310,300,,277,,11,,2,,10,
S08000022,202310,490,,224,,111,,55,,100,
S08000024,202310,1841,,1400,,333,,75,,33,
S08000025,202310,15,,15,,0,,0,,0,
S08000026,202310,14,,14,,0,,0,,0,
S08000028,202310,9,,9,,0,,0,,0,
S08000029,202310,271,,184,,87,,0,,0,
S08000030,202310,232,,211,,21,,0,,0,
S08000031,202310,645,,634,,11,,0,,0,
S08000032,202310,565,,473,,62,,23,,7,
S92000003,202310,5358,d,4237,d,787,d,176,d,158,d
S08000015,202309,425,,424,,1,,0,,0,
S08000016,202309,200,,131,,68,,1,,0,
S08000017,202309,150,,146,,4,,0,,0,
S08000019,202309,327,,233,,68,,23,,3,
S08000020,202309,303,,290,,11,,2,,0,
S08000022,202309,474,,219,,102,,44,,109,
S08000024,202309,1663,,1299,,282,,63,,19,
S08000025,202309,21,,21,,0,,0,,0,
S08000026,202309,9,,9,,0,,0,,0,
S08000028,202309,8,,8,,0,,0,,0,
S08000029,202309,288,,197,,91,,0,,0,
S08000030,202309,257,,213,,43,,1,,0,
S08000031,202309,663,,646,,17,,0,,0,
S08000032,202309,556,,435,,71,,34,,16,
S92000003,202309,5344,d,4271,d,758,d,168,d,147,d
S08000015,202308,613,,608,,4,,1,,0,
S08000016,202308,193,,137,,54,,2,,0,
S08000017,202308,200,,189,,11,,0,,0,
S08000019,202308,325,,214,,66,,35,,10,
S08000020,202308,271,,257,,10,,4,,0,
S08000022,202308,471,,210,,100,,47,,114,
S08000024,202308,1512,,1211,,222,,65,,14,
S08000025,202308,11,,11,,0,,0,,0,
S08000026,202308,12,,12,,0,,0,,0,
S08000028,202308,7,,7,,0,,0,,0,
S08000029,202308,269,,181,,88,,0,,0,
S08000030,202308,263,,212,,48,,2,,1,
S08000031,202308,804,,779,,24,,1,,0,
S08000032,202308,551,,389,,93,,48,,21,
S92000003,202308,5502,d,4417,d,720,d,205,d,160,d
S08000015,202307,740,,730,,5,,1,,4,
S08000016,202307,190,,127,,60,,3,,0,
S08000017,202307,223,,207,,16,,0,,0,
S08000019,202307,359,,217,,84,,40,,18,
S08000020,202307,377,,351,,19,,7,,0,
S08000022,202307,433,,184,,86,,46,,117,
S08000024,202307,1543,,1243,,223,,61,,16,
S08000025,202307,9,,9,,0,,0,,0,
S08000026,202307,15,,15,,0,,0,,0,
S08000028,202307,2,,2,,0,,0,,0,
S08000029,202307,283,,201,,82,,0,,0,
S08000030,202307,285,,223,,60,,2,,0,
S08000031,202307,938,,900,,38,,0,,0,
S08000032,202307,654,,372,,189,,60,,33,
S92000003,202307,6051,d,4781,d,862,d,220,d,188,d
S08000015,202306,843,,830,,6,,2,,5,
S08000016,202306,208,,132,,76,,0,,0,
S08000017,202306,218,,205,,13,,0,,0,
S08000019,202306,410,,229,,112,,39,,30,
S08000020,202306,386,,339,,33,,13,,1,
S08000022,202306,408,,175,,78,,36,,119,
S08000024,202306,1658,,1388,,196,,54,,20,
S08000025,202306,17,,13,,2,,0,,2,
S08000026,202306,19,,19,,0,,0,,0,
S08000028,202306,3,,3,,0,,0,,0,
S08000029,202306,294,,224,,70,,0,,0,
S08000030,202306,287,,248,,37,,2,,0,
S08000031,202306,1083,,1034,,49,,0,,0,
S08000032,202306,833,,438,,269,,79,,47,
S92000003,202306,6667,d,5277,d,941,d,225,d,224,d
S08000015,202305,792,,776,,12,,2,,2,
S08000016,202305,198,,107,,91,,0,,0,
S08000017,202305,444,,378,,66,,0,,0,
S08000019,202305,469,,252,,134,,55,,28,
S08000020,202305,348,,301,,41,,5,,1,
S08000022,202305,433,,194,,75,,38,,126,
S08000024,202305,1457,,1228,,165,,43,,21,
S08000025,202305,27,,25,,1,,0,,1,
S08000026,202305,28,,28,,0,,0,,0,
S08000028,202305,6,,6,,0,,0,,0,
S08000029,202305,316,,268,,48,,0,,0,
S08000030,202305,321,,279,,41,,0,,1,
S08000031,202305,1227,,1156,,70,,1,,0,
S08000032,202305,950,,460,,274,,129,,87,
S92000003,202305,7016,d,5458,d,1018,d,273,d,267,d
S08000015,202304,754,,737,,13,,2,,2,
S08000016,202304,197,,96,,100,,1,,0,
S08000017,202304,372,,363,,9,,0,,0,
S08000019,202304,513,,228,,145,,91,,49,
S08000020,202304,323,,296,,26,,1,,0,
S08000022,202304,506,,219,,89,,48,,150,
S08000024,202304,1441,,1154,,211,,44,,32,
S08000025,202304,33,,30,,3,,0,,0,
S08000026,202304,28,,28,,0,,0,,0,
S08000028,202304,4,,4,,0,,0,,0,
S08000029,202304,292,,249,,43,,0,,0,
S08000030,202304,370,,298,,69,,3,,0,
S08000031,202304,1367,,1251,,114,,2,,0,
S08000032,202304,1133,,467,,336,,206,,124,
S92000003,202304,7333,d,5420,d,1158,d,398,d,357,d
S08000015,202303,767,,746,,8,,6,,7,
S08000016,202303,204,,123,,80,,1,,0,
S08000017,202303,334,,334,,0,,0,,0,
S08000019,202303,544,,263,,112,,109,,60,
S08000020,202303,335,,321,,11,,2,,1,
S08000022,202303,528,,236,,83,,50,,159,
S08000024,202303,1465,,1192,,189,,53,,31,
S08000025,202303,51,,38,,7,,4,,2,
S08000026,202303,24,,24,,0,,0,,0,
S08000028,202303,6,,6,,0,,0,,0,
S08000029,202303,280,,233,,47,,0,,0,
S08000030,202303,385,,332,,49,,4,,0,
S08000031,202303,1480,,1368,,107,,5,,0,
S08000032,202303,1298,,497,,323,,271,,207,
S92000003,202303,7701,d,5713,d,1016,d,505,d,467,d
S08000015,202302,716,,696,,9,,3,,8,
S08000016,202302,327,,200,,121,,6,,0,
S08000017,202302,217,,217,,0,,0,,0,
S08000019,202302,523,,253,,94,,131,,45,
S08000020,202302,452,,438,,12,,2,,0,
S08000022,202302,510,,220,,74,,53,,163,
S08000024,202302,1415,,1123,,181,,81,,30,
S08000025,202302,54,,40,,8,,2,,4,
S08000026,202302,28,,28,,0,,0,,0,
S08000028,202302,6,,6,,0,,0,,0,
S08000029,202302,235,,208,,27,,0,,0,
S08000030,202302,365,,337,,25,,3,,0,
S08000031,202302,1382,,1284,,92,,6,,0,
S08000032,202302,1464,,574,,278,,348,,264,
S92000003,202302,7694,d,5624,d,921,d,635,d,514,d
S08000015,202301,669,,653,,6,,2,,8,
S08000016,202301,323,,197,,117,,9,,0,
S08000017,202301,126,,125,,1,,0,,0,
S08000019,202301,512,,234,,103,,131,,44,
S08000020,202301,313,,305,,6,,2,,0,
S08000022,202301,515,,211,,89,,56,,159,
S08000024,202301,1493,,1131,,176,,103,,83,
S08000025,202301,44,,29,,9,,3,,3,
S08000026,202301,30,,30,,0,,0,,0,
S08000028,202301,5,,5,,0,,0,,0,
S08000029,202301,230,,217,,13,,0,,0,
S08000030,202301,397,,347,,45,,3,,2,
S08000031,202301,1254,,1148,,98,,8,,0,
S08000032,202301,1551,,552,,294,,366,,339,
S92000003,202301,7462,d,5184,d,957,d,683,d,638,d
S08000015,202212,674,,658,,7,,2,,7,
S08000016,202212,340,,205,,128,,7,,0,
S08000017,202212,149,,149,,0,,0,,0,
S08000019,202212,539,,245,,132,,98,,64,
S08000020,202212,354,,348,,5,,1,,0,
S08000022,202212,564,,240,,82,,59,,183,
S08000024,202212,1485,,1122,,166,,114,,83,
S08000025,202212,43,,27,,9,,3,,4,
S08000026,202212,38,,36,,2,,0,,0,
S08000028,202212,4,,4,,0,,0,,0,
S08000029,202212,203,,188,,15,,0,,0,
S08000030,202212,408,,375,,29,,2,,2,
S08000031,202212,1221,,1104,,100,,17,,0,
S08000032,202212,1584,,515,,304,,379,,386,
S92000003,202212,7606,d,5216,d,979,d,682,d,729,d
S08000015,202211,657,,637,,10,,2,,8,
S08000016,202211,327,,188,,133,,6,,0,
S08000017,202211,135,,135,,0,,0,,0,
S08000019,202211,503,,216,,141,,78,,68,
S08000020,202211,338,,327,,8,,3,,0,
S08000022,202211,592,,211,,93,,67,,221,
S08000024,202211,1498,,1077,,195,,130,,96,
S08000025,202211,41,,29,,6,,3,,3,
S08000026,202211,37,,37,,0,,0,,0,
S08000028,202211,6,,6,,0,,0,,0,
S08000029,202211,188,,157,,30,,1,,0,
S08000030,202211,382,,354,,24,,2,,2,
S08000031,202211,1272,,1140,,98,,34,,0,
S08000032,202211,1708,,506,,327,,378,,497,
S92000003,202211,7684,d,5020,d,1065,d,704,d,895,d
S08000015,202210,670,,579,,80,,4,,7,
S08000016,202210,330,,172,,147,,8,,3,
S08000017,202210,114,,114,,0,,0,,0,
S08000019,202210,513,,184,,194,,53,,82,
S08000020,202210,341,,325,,15,,1,,0,
S08000022,202210,644,,203,,89,,78,,274,
S08000024,202210,1536,,981,,270,,159,,126,
S08000025,202210,50,,40,,5,,2,,3,
S08000026,202210,26,,26,,0,,0,,0,
S08000028,202210,11,,11,,0,,0,,0,
S08000029,202210,213,,141,,71,,1,,0,
S08000030,202210,368,,321,,41,,4,,2,
S08000031,202210,1265,,1088,,124,,51,,2,
S08000032,202210,1849,,432,,407,,362,,648,
S92000003,202210,7930,d,4617,d,1443,d,723,d,1147,d
S08000015,202209,652,,585,,59,,1,,7,
S08000016,202209,330,,177,,126,,22,,5,
S08000017,202209,110,,110,,0,,0,,0,
S08000019,202209,587,,244,,189,,47,,107,
S08000020,202209,371,,353,,17,,1,,0,
S08000022,202209,650,,209,,91,,87,,263,
S08000024,202209,1559,,991,,261,,184,,123,
S08000025,202209,45,,36,,4,,1,,4,
S08000026,202209,25,,25,,0,,0,,0,
S08000028,202209,8,,8,,0,,0,,0,
S08000029,202209,209,,136,,70,,3,,0,
S08000030,202209,383,,347,,32,,4,,0,
S08000031,202209,1431,,1189,,179,,63,,0,
S08000032,202209,2025,,482,,425,,375,,743,
S92000003,202209,8385,d,4892,d,1453,d,788,d,1252,d
S08000015,202208,554,,537,,9,,1,,7,
S08000016,202208,317,,153,,111,,46,,7,
S08000017,202208,65,,65,,0,,0,,0,
S08000019,202208,621,,246,,155,,62,,158,
S08000020,202208,338,,316,,22,,0,,0,
S08000022,202208,636,,201,,93,,80,,262,
S08000024,202208,1608,,967,,297,,204,,140,
S08000025,202208,43,,32,,6,,2,,3,
S08000026,202208,26,,26,,0,,0,,0,
S08000028,202208,5,,5,,0,,0,,0,
S08000029,202208,213,,141,,67,,5,,0,
S08000030,202208,344,,323,,15,,5,,1,
S08000031,202208,1452,,1130,,254,,68,,0,
S08000032,202208,2066,,451,,427,,405,,783,
S92000003,202208,8288,d,4593,d,1456,d,878,d,1361,d
S08000015,202207,521,,507,,6,,2,,6,
S08000016,202207,379,,176,,127,,54,,22,
S08000017,202207,67,,67,,0,,0,,0,
S08000019,202207,730,,267,,160,,44,,259,
S08000020,202207,378,,352,,25,,1,,0,
S08000022,202207,728,,233,,112,,90,,293,
S08000024,202207,1822,,1117,,381,,177,,147,
S08000025,202207,42,,28,,10,,2,,2,
S08000026,202207,35,,35,,0,,0,,0,
S08000028,202207,7,,7,,0,,0,,0,
S08000029,202207,211,,136,,63,,9,,3,
S08000030,202207,360,,333,,18,,6,,3,
S08000031,202207,1675,,1191,,399,,83,,2,
S08000032,202207,2153,,524,,458,,403,,768,
S92000003,202207,9108,d,4973,d,1759,d,871,d,1505,d
S08000015,202206,555,,540,,8,,5,,2,
S08000016,202206,378,,192,,102,,63,,21,
S08000017,202206,106,,106,,0,,0,,0,
S08000019,202206,766,,294,,131,,47,,294,
S08000020,202206,419,b,392,b,26,b,1,b,0,b
S08000022,202206,714,,207,,137,,86,,284,
S08000024,202206,2003,,1273,,372,,165,,193,
S08000025,202206,43,,32,,7,,2,,2,
S08000026,202206,35,,35,,0,,0,,0,
S08000028,202206,8,,8,,0,,0,,0,
S08000029,202206,228,,136,,63,,25,,4,
S08000030,202206,380,,345,,29,,4,,2,
S08000031,202206,1967,,1388,,471,,105,,3,
S08000032,202206,2125,,633,,427,,342,,723,
S92000003,202206,9727,d,5581,d,1773,d,845,d,1528,d
S08000015,202205,418,,408,,4,,5,,1,
S08000016,202205,365,,166,,107,,70,,22,
S08000017,202205,110,,106,,2,,2,,0,
S08000019,202205,706,,239,,101,,54,,312,
S08000020,202205,459,,442,,17,,0,,0,
S08000022,202205,824,,237,,155,,95,,337,
S08000024,202205,2046,,1290,,399,,146,,211,
S08000025,202205,41,,35,,4,,2,,0,
S08000026,202205,32,,32,,0,,0,,0,
S08000028,202205,11,,11,,0,,0,,0,
S08000029,202205,261,,135,,72,,45,,9,
S08000030,202205,366,,335,,28,,2,,1,
S08000031,202205,2070,,1439,,528,,103,,0,
S08000032,202205,2025,,640,,431,,317,,637,
S92000003,202205,9734,d,5515,d,1848,d,841,d,1530,d
S08000015,202204,420,,409,,6,,4,,1,
S08000016,202204,356,,144,,115,,82,,15,
S08000017,202204,135,,133,,0,,2,,0,
S08000019,202204,684,,205,,93,,125,,261,
S08000020,202204,476,,460,,16,,0,,0,
S08000022,202204,779,,221,,139,,107,,312,
S08000024,202204,2142,,1310,,469,,140,,223,
S08000025,202204,38,,32,,4,,2,,0,
S08000026,202204,32,,32,,0,,0,,0,
S08000028,202204,14,,14,,0,,0,,0,
S08000029,202204,262,b,117,b,80,b,56,b,9,b
S08000030,202204,341,,300,,38,,3,,0,
S08000031,202204,2351,,1447,,786,,117,,1,
S08000032,202204,1928,,617,,448,,333,,530,
S92000003,202204,9958,d,5441,d,2194,d,971,d,1352,d
S08000015,202203,409,,399,,4,,5,,1,
S08000016,202203,345,,159,,96,,73,,17,
S08000017,202203,160,,158,,0,,2,,0,
S08000019,202203,646,,197,,62,,155,,232,
S08000020,202203,502,,487,,14,,1,,0,
S08000022,202203,726,,216,,122,,105,,283,
S08000024,202203,2217,,1405,,427,,138,,247,
S08000025,202203,37,,32,,3,,2,,0,
S08000026,202203,33,,33,,0,,0,,0,
S08000028,202203,18,,18,,0,,0,,0,
S08000029,202203,495,,283,,125,,68,,19,
S08000030,202203,328,,293,,32,,3,,0,
S08000031,202203,2610,,1604,,834,,171,,1,
S08000032,202203,1917,,617,,434,,344,,522,
S92000003,202203,10443,d,5901,d,2153,d,1067,d,1322,d
S08000015,202202,403,,391,,8,,2,,2,
S08000016,202202,336,,142,,84,,87,,23,
S08000017,202202,143,,140,,2,,1,,0,
S08000019,202202,641,,178,,49,,179,,235,
S08000020,202202,562,,542,,18,,1,,1,
S08000022,202202,745,,250,,113,,113,,269,
S08000024,202202,2191,,1385,,354,,187,,265,
S08000025,202202,27,,22,,3,,2,,0,
S08000026,202202,35,,35,,0,,0,,0,
S08000028,202202,14,,14,,0,,0,,0,
S08000029,202202,486,,300,,95,,57,,34,
S08000030,202202,285,,254,,25,,4,,2,
S08000031,202202,2750,,1720,,700,,327,,3,
S08000032,202202,2034,,588,,417,,475,,554,
S92000003,202202,10652,d,5961,d,1868,d,1435,d,1388,d
S08000015,202201,431,,419,,10,,1,,1,
S08000016,202201,332,,144,,91,,73,,24,
S08000017,202201,125,,121,,3,,0,,1,
S08000019,202201,652,,139,,63,,188,,262,
S08000020,202201,648,,630,,14,,4,,0,
S08000022,202201,694,,215,,107,,113,,259,
S08000024,202201,2263,,1329,,314,,191,,429,
S08000025,202201,20,,14,,5,,1,,0,
S08000026,202201,35,,35,,0,,0,,0,
S08000028,202201,9,,9,,0,,0,,0,
S08000029,202201,443,,280,,89,,41,,33,
